행정구역,기후측정지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),10a당 조곡 생산량(kg)
강원도,춘천,1982,11,-17.8,35.5,5.6,17.8,927.6,67.6,72.3,2343.7,52.85,555
강원도,춘천,1983,11.1,-17,35.5,5.9,17.1,1153.7,108.1,73.4,2306.1,51.81,533
강원도,춘천,1984,10.5,-23.2,35,5.1,16.7,1342.2,260,71.1,2401.6,53.84,584
강원도,춘천,1985,10.8,-22.6,36,5.8,16.6,1191.5,82,70.2,2166.6,48.67,587
강원도,춘천,1986,10.3,-25.6,34.3,5.1,16.4,1021.6,71,69.8,2297.3,51.61,576
강원도,춘천,1987,10.9,-20.2,33.5,5.7,17,1513.2,134,67.3,2290.1,51.45,580
강원도,춘천,1988,10.6,-18.6,36.3,5.1,17.1,1064.1,215.1,67.4,2346.6,52.61,549
강원도,춘천,1989,11.6,-15.3,35.1,6.5,17.7,1219.2,108,71.8,2124.3,47.72,634
강원도,춘천,1990,11.4,-21.4,35.6,6.9,17,2069.2,213,77.1,1764.9,39.65,537
강원도,춘천,1991,10.9,-19.1,34.1,5.6,16.9,1298,308.5,69.9,2377.4,53.41,568
강원도,춘천,1992,11.1,-16,33.4,6.3,16.8,1101.5,109.8,73.3,2084.4,46.73,588
강원도,춘천,1993,10.9,-16.8,32.9,5.9,16.7,1161,113.4,73.5,2083.2,46.8,418
강원도,춘천,1994,11.7,-17.7,36.5,6.4,18,930.9,57.6,72.3,2245.8,50.45,585
강원도,춘천,1995,10.3,-16.7,34.1,4.9,16.7,1593.1,160.5,72.5,2100.9,47.2,530
강원도,춘천,1996,10.4,-17.5,35.2,5.2,16.7,1185.7,141.5,76.4,2077.4,46.58,623
강원도,춘천,1997,11,-16.8,35.4,5.5,17.4,1175.7,101.5,76.5,2313.1,51.97,653
강원도,춘천,1998,12.2,-16.6,33,7.2,18.3,1707.6,137.8,77,2074.2,46.6,606
강원도,춘천,1999,11.4,-16.6,36.2,6,17.8,1586.9,237.2,75.5,2304.5,51.77,639
강원도,춘천,2000,11.1,-16.4,36,5.7,17.4,1154.9,123.1,68.8,2011.9,45.09,652
강원도,춘천,2001,11.1,-24.5,36,5.4,17.8,1108,197.6,66.7,2106.5,47.32,667
강원도,춘천,2002,11.6,-20.7,35.7,6.2,17.7,1177.7,109.9,66.7,2007,45.05,606
강원도,춘천,2003,11.3,-19.7,33.3,6.4,17.3,1865.8,146,71,1849.9,41.53,606
강원도,춘천,2004,11.9,-17.5,36,6.6,18.2,1404,142.5,66.8,2086.6,46.75,632
강원도,춘천,2005,11,-17.4,35.6,5.8,17.2,1334.2,119.5,64.2,2099.8,47.14,650
강원도,춘천,2006,11.5,-16.6,35.5,6.7,17.5,1659.4,179.5,68.1,1899.5,42.64,611
강원도,춘천,2007,11.7,-13.9,34.8,6.9,17.6,1374.9,96,73.8,1817.4,40.8,611
강원도,춘천,2008,11.3,-16.2,35.1,6.1,17.3,1439.4,204,70.3,2036,45.61,650
강원도,춘천,2009,11.5,-16.8,34.1,6.2,17.5,1446.9,200.5,69.2,2083.9,46.78,692
강원도,춘천,2010,11,-21.3,33.9,6.2,16.5,1581.4,195,70,1844.3,41.4,609
강원도,춘천,2011,10.7,-22.5,34.2,5.7,16.5,2029.3,262.5,69.4,1971.1,44.25,630
강원도,춘천,2012,10.7,-23.1,36.8,5.5,16.5,1324.3,92,68.7,2082.2,46.64,627
강원도,춘천,2013,11.1,-23.1,33.6,6.2,16.7,1738.9,140,72.8,2103.5,47.22,623
강원도,춘천,2014,12.1,-20.1,35.1,7,18,677.4,95.8,70.5,2301.5,51.66,718
강원도,춘천,2015,12.5,-15.7,35.9,7.3,18.4,757.8,58.6,69.8,2404.6,53.99,724
강원도,춘천,2016,12.4,-20.1,35.7,7.4,18.2,1333.8,241.6,70.8,2321.5,52.01,728
강원도,춘천,2017,11.7,-17.6,36.3,6.4,17.6,1217.2,124.3,70.3,2387.3,53.6,676
강원도,춘천,2018,11.6,-21.6,39.5,6.4,17.6,1401.5,170.7,69.2,2480.3,55.68,715
강원도,춘천,2019,12.3,-14.1,36.3,7.1,18.3,923.2,72,68.3,2348.8,52.73,712
강원도,춘천,2020,12.2,-17.2,36.4,7.1,18,1550.9,178.7,68.5,2284.5,51.18,609
충청북도,충주,1982,11.3,-17.1,36.4,5.6,18.2,844.4,59.4,74.1,2533.2,56.82,627
충청북도,충주,1983,11.4,-18.2,35.2,6.1,17.8,906.3,67,75.3,2445.7,54.96,638
충청북도,충주,1984,10.7,-26,35.6,5,17.3,1088.2,85.3,75.8,2519.5,56.5,650
충청북도,충주,1985,11.1,-25.6,35.2,6.1,17.1,1356.6,80.3,76.8,2293.1,51.53,658
충청북도,충주,1986,10.5,-22.2,34.8,5.6,16.7,983.3,104,74.2,2434.1,54.7,642
충청북도,충주,1987,11.4,-18.7,33.2,6.4,17.6,1471.2,128,74.3,2394,53.81,650
충청북도,충주,1988,11.2,-14.2,35.4,5.9,17.8,868.3,140.4,70.7,2553.6,57.26,659
충청북도,충주,1989,12,-12.5,34.2,7.1,18.2,1424.2,176.1,74.3,2401.8,53.98,640
